20.06.2024;22:00;10
20.06.2024;21:00;14
20.06.2024;20:00;16
20.06.2024;19:00;14
20.06.2024;18:00;16
20.06.2024;17:00;15
20.06.2024;16:00;18
20.06.2024;15:00;11
20.06.2024;14:00;12
20.06.2024;13:00;9
20.06.2024;12:00;11
20.06.2024;11:00;13
20.06.2024;10:00;14
20.06.2024;09:00;15
20.06.2024;08:00;13
20.06.2024;07:00;11
20.06.2024;06:00;10
20.06.2024;05:00;10
20.06.2024;04:00;7
20.06.2024;03:00;7
20.06.2024;02:00;8
20.06.2024;01:00;7
20.06.2024;00:00;10
19.06.2024;23:00;9
19.06.2024;22:00;8
19.06.2024;21:00;7
19.06.2024;20:00;7
19.06.2024;19:00;8
19.06.2024;18:00;9
19.06.2024;17:00;8
19.06.2024;16:00;8
19.06.2024;15:00;7
19.06.2024;14:00;6
19.06.2024;13:00;5
19.06.2024;12:00;7
19.06.2024;11:00;10
19.06.2024;10:00;11
19.06.2024;09:00;12
19.06.2024;08:00;19
19.06.2024;07:00;18
19.06.2024;06:00;13
19.06.2024;05:00;13
19.06.2024;04:00;10
19.06.2024;03:00;12
19.06.2024;02:00;12
19.06.2024;01:00;19
19.06.2024;00:00;22
18.06.2024;23:00;24
