20.06.2024;22:00;13
20.06.2024;21:00;17
20.06.2024;20:00;17
20.06.2024;19:00;10
20.06.2024;18:00;11
20.06.2024;17:00;11
20.06.2024;16:00;11
20.06.2024;15:00;14
20.06.2024;14:00;12
20.06.2024;13:00;13
20.06.2024;12:00;14
20.06.2024;11:00;14
20.06.2024;10:00;14
20.06.2024;09:00;17
20.06.2024;08:00;17
20.06.2024;07:00;18
20.06.2024;06:00;8
20.06.2024;05:00;8
20.06.2024;04:00;7
20.06.2024;03:00;8
20.06.2024;02:00;9
20.06.2024;01:00;8
20.06.2024;00:00;7
19.06.2024;23:00;6
19.06.2024;22:00;5
19.06.2024;21:00;5
19.06.2024;20:00;6
19.06.2024;19:00;6
19.06.2024;18:00;5
19.06.2024;17:00;6
19.06.2024;16:00;8
19.06.2024;15:00;6
19.06.2024;14:00;6
19.06.2024;13:00;7
19.06.2024;12:00;6
19.06.2024;11:00;7
19.06.2024;10:00;9
19.06.2024;09:00;13
19.06.2024;08:00;20
19.06.2024;07:00;20
19.06.2024;06:00;15
19.06.2024;05:00;9
19.06.2024;04:00;9
19.06.2024;03:00;32
19.06.2024;02:00;22
19.06.2024;01:00;24
19.06.2024;00:00;40
18.06.2024;23:00;29
